meter_id,timestamp,power_kw,power_factor
M09,2025-01-31 11:45:00,119.6,0.922
M01,2025-01-31 12:30:00,138.0,0.904
M08,2025-01-31 21:30:00,161.19,0.916
M09,2025-02-01 20:45:00,148.09,0.927
M05,2025-02-02 15:15:00,143.63,0.944
M01,2025-02-03 10:30:00,125.96,0.928
M07,2025-02-04 18:15:00,151.77,0.932
M02,2025-02-04 19:00:00,166.76,0.944
M01,2025-02-04 21:45:00,146.04,0.922
M03,2025-02-04 21:45:00,113.44,0.873
M09,2025-02-05 18:00:00,148.53,0.955
M04,2025-02-06 14:30:00,127.63,0.92
M05,2025-02-06 16:30:00,137.83,0.93
M05,2025-02-06 20:30:00,110.45,0.97
M05,2025-02-08 17:15:00,161.16,0.944
M08,2025-02-09 11:30:00,118.34,0.908
M01,2025-02-09 14:45:00,137.38,0.909
M03,2025-02-09 14:45:00,124.53,0.972
M04,2025-02-09 18:30:00,157.37,0.945
M09,2025-02-10 19:00:00,133.46,0.935
M10,2025-02-10 19:30:00,152.41,0.906
M03,2025-02-10 20:15:00,152.19,0.964
M01,2025-02-10 21:15:00,117.55,0.967
M10,2025-02-11 20:45:00,124.78,0.882
M07,2025-02-12 19:00:00,179.13,0.94
M04,2025-02-13 17:45:00,168.91,0.924
M02,2025-02-13 18:15:00,202.69,0.95
M06,2025-02-13 18:30:00,153.16,0.922
M10,2025-02-14 17:45:00,119.77,0.936
M02,2025-02-14 19:45:00,126.61,0.873
M06,2025-02-15 17:45:00,116.18,0.868
M08,2025-02-15 18:15:00,160.08,0.926
M04,2025-02-15 18:45:00,162.14,0.916
M08,2025-02-15 23:15:00,112.36,0.917
M08,2025-02-16 17:15:00,139.28,0.924
M06,2025-02-16 20:30:00,126.68,0.94
M02,2025-02-16 21:00:00,120.54,0.88
M10,2025-02-16 21:15:00,130.24,0.908
M05,2025-02-16 21:30:00,132.06,0.934
M05,2025-02-17 15:15:00,132.1,0.928
M07,2025-02-17 19:15:00,156.25,0.928
M02,2025-02-19 13:15:00,112.66,0.965
M04,2025-02-19 16:15:00,115.69,0.938
M05,2025-02-20 21:30:00,114.32,0.906
M09,2025-02-21 14:00:00,128.35,0.898
M10,2025-02-21 18:30:00,129.44,0.902
M07,2025-02-22 17:00:00,172.98,0.914
M01,2025-02-22 19:00:00,124.73,0.882
M05,2025-02-22 19:45:00,136.22,0.921
M04,2025-02-22 21:30:00,129.95,0.977
M02,2025-02-23 11:15:00,120.14,0.901
M02,2025-02-25 20:15:00,127.7,0.96
M06,2025-02-25 20:45:00,150.37,0.952
M06,2025-03-01 14:15:00,112.54,0.935
M01,2025-03-01 17:45:00,122.04,0.911
M06,2025-03-01 18:15:00,167.82,0.9
M07,2025-03-01 20:15:00,133.95,0.901
M06,2025-03-03 11:15:00,128.22,0.923
M02,2025-03-03 21:00:00,144.66,0.984
M02,2025-03-04 13:30:00,115.65,0.948
M06,2025-03-04 14:00:00,120.22,0.916
M03,2025-03-04 18:30:00,117.45,0.928
M04,2025-03-05 15:30:00,117.74,0.927
M05,2025-03-08 10:15:00,111.41,0.948
M09,2025-03-08 11:30:00,114.39,0.947
M02,2025-03-08 15:30:00,111.42,0.926
M06,2025-03-08 21:00:00,120.74,0.919
M10,2025-03-09 17:00:00,119.06,0.887
M05,2025-03-09 18:00:00,123.14,0.911
M02,2025-03-09 18:30:00,170.31,0.926
M09,2025-03-09 18:45:00,132.19,0.931
M01,2025-03-11 17:15:00,158.73,0.925
M03,2025-03-11 21:00:00,176.56,0.942
M02,2025-03-12 19:45:00,113.11,0.932
M09,2025-03-12 20:30:00,122.0,0.874
M02,2025-03-13 20:30:00,133.39,0.928
M07,2025-03-14 14:30:00,123.11,0.934
M01,2025-03-14 15:15:00,124.03,0.986
M04,2025-03-14 19:45:00,174.88,0.904
M07,2025-03-16 14:00:00,120.71,0.972
M07,2025-03-17 20:45:00,120.98,0.929
M05,2025-03-18 14:30:00,118.75,0.897
M04,2025-03-18 18:00:00,151.77,0.915
M02,2025-03-19 17:30:00,134.27,0.986
M10,2025-03-20 14:30:00,110.02,0.923
M07,2025-03-20 16:45:00,114.99,0.901
M03,2025-03-22 14:45:00,114.03,0.931
M06,2025-03-22 17:00:00,149.43,0.907
M07,2025-03-23 17:15:00,163.65,0.9
M09,2025-03-24 11:30:00,112.8,0.908
M10,2025-03-25 10:00:00,152.06,0.827
M08,2025-03-25 10:30:00,116.8,0.935
M09,2025-03-26 14:15:00,115.52,0.895
M06,2025-03-26 20:15:00,135.13,0.925
M04,2025-03-27 14:45:00,135.93,0.944
M05,2025-03-27 17:45:00,150.1,0.939
M10,2025-03-27 19:45:00,143.48,0.931
M02,2025-03-28 10:30:00,129.9,0.9
M09,2025-03-28 10:45:00,111.2,0.916
M01,2025-03-28 18:00:00,188.61,0.925
M03,2025-03-28 18:30:00,129.0,0.941
M08,2025-03-29 10:15:00,116.4,0.932
M10,2025-03-29 20:30:00,132.35,0.903
M01,2025-03-30 10:00:00,120.28,0.923
M05,2025-03-30 14:00:00,111.53,0.947
M03,2025-03-31 19:45:00,135.54,0.907
M04,2025-03-31 20:30:00,153.27,0.961
